temperature,rainfall,humidity
37.2,20.1,74
27.3,164.5,91
37.2,44.3,71
21.7,38.8,27
17.1,191.9,98
41.9,176.3,76
38.8,90.8,89
41.5,258.2,31
28.3,151.8,65
14.9,64.7,36
37.2,211.7,64
20.0,33.5,31
16.0,17.0,25
30.4,152.5,37
44.2,124.8,96
22.3,18.1,84
39.3,66.6,87
30.5,62.0,43
39.3,131.4,80
41.7,137.7,62
7.3,185.6,78
13.2,91.5,92
42.2,144.0,64
12.0,194.5,95
13.9,272.8,70
32.9,220.2,71
6.3,289.5,30
6.9,267.6,71
30.5,264.0,45
35.6,293.9,68
33.3,15.6,95
38.1,113.4,65
27.0,83.0,67
43.1,234.9,33
43.2,217.7,34
21.9,199.2,70
29.2,155.6,74
20.5,75.7,63
36.9,5.6,83
38.8,178.4,21
30.8,79.2,87
31.7,250.1,72
32.4,2.9,53
18.8,171.9,82
12.8,233.0,61
12.4,60.3,96
25.0,292.0,73
28.7,202.5,21
11.8,284.5,82
39.4,213.5,62
6.4,177.1,65
30.8,46.9,43
34.8,86.3,84
6.0,78.4,70
37.9,31.5,73
33.3,149.9,86
6.6,249.4,71
38.3,113.9,44
34.2,31.3,72
34.5,187.9,74
33.7,214.8,96
23.2,120.6,62
39.3,15.6,69
42.2,86.3,85
37.5,193.5,37
26.9,286.4,21
7.2,175.2,75
41.3,207.4,100
32.4,189.8,40
27.6,297.0,28
23.0,166.2,95
22.3,201.8,82
17.5,59.4,59
18.2,260.6,69
9.2,235.4,56
27.9,286.8,44
37.6,107.8,57
6.7,250.8,34
17.2,19.5,22
21.5,86.6,70
21.2,245.8,50
14.6,151.3,48
24.4,140.3,51
6.0,106.4,74
9.0,241.0,68
24.9,9.2,41
29.3,103.9,26
18.0,98.7,99
37.7,131.2,82
28.1,265.0,86
38.8,268.0,51
8.2,55.8,83
6.6,61.5,78
44.2,218.9,60
15.2,25.1,49
23.1,25.8,50
18.2,53.4,31
22.6,123.3,40
28.5,198.4,49
22.8,62.6,76
28.0,87.1,25
7.7,246.9,84
41.7,138.7,66
37.1,282.2,60
38.3,47.4,57
6.2,288.0,84
14.0,46.7,27
40.8,94.0,62
24.7,248.2,57
43.2,229.0,100
30.1,184.1,47
7.8,26.1,57
9.4,92.6,94
34.2,131.6,84
12.5,251.7,53
14.1,148.7,100
37.0,237.1,20
34.5,20.3,31
41.3,44.8,56
6.1,180.2,86
13.2,88.4,92
15.2,137.7,43
17.3,241.2,71
37.0,165.4,100
42.4,86.6,45
30.9,92.3,82
32.2,189.9,25
5.9,45.7,75
42.6,88.4,53
42.3,12.8,31
9.3,57.4,95
42.8,127.2,91
27.1,195.5,23
21.0,265.8,55
39.2,274.2,82
34.5,275.9,78
21.5,81.4,68
29.0,97.2,72
32.0,129.6,62
15.1,151.8,86
11.6,180.1,67
29.8,108.3,55
22.1,165.2,27
5.9,130.4,26
12.4,43.1,89
21.2,160.0,78
31.8,212.7,39
23.8,168.1,35
10.4,64.2,25
40.4,275.3,61
25.4,82.7,26
13.9,171.7,59
43.6,59.1,46
11.8,77.3,76
28.6,180.5,97
23.6,244.5,30
33.8,180.9,88
41.2,156.1,95
44.2,20.5,81
22.9,159.5,78
24.7,44.4,24
24.6,3.3,48
41.7,247.2,93
21.7,27.4,71
7.6,89.3,88
39.0,274.7,21
21.6,0.3,54
18.2,153.3,94
33.7,115.5,60
36.1,64.1,91
7.5,180.9,72
17.5,299.1,26
32.0,223.5,49
23.5,70.8,70
25.9,156.6,38
18.4,277.5,96
7.1,20.9,29
21.2,200.8,45
25.7,254.1,54
43.8,215.6,53
30.6,71.8,71
15.6,168.0,33
31.4,49.4,20
36.5,293.1,81
20.2,161.0,95
30.3,105.7,44
23.7,12.2,58
38.8,203.0,89
5.7,244.1,45
25.1,194.6,89
11.5,156.2,44
37.7,80.3,79
11.1,91.5,51
14.3,290.0,20
35.5,285.6,64
25.5,253.7,37
42.1,135.1,91
43.5,181.7,62
38.0,237.3,82
26.7,222.8,66
38.0,236.9,89
9.0,41.7,88
27.4,133.7,24
34.3,37.0,50
28.2,39.3,91
37.5,203.1,44
13.6,99.8,66
34.1,233.0,36
28.8,246.8,88
14.3,149.8,98
30.4,46.0,22
38.6,112.7,59
7.9,235.5,29
44.5,16.5,99
41.8,114.1,35
39.2,32.6,82
9.3,236.8,96
20.6,6.7,31
16.1,289.5,81
10.7,35.7,29
21.6,139.5,82
15.0,32.6,60
19.9,7.1,58
27.1,77.3,70
33.3,279.8,23
24.8,34.1,72
24.3,280.3,80
27.7,218.1,29
8.2,82.2,74
15.7,41.9,83
27.0,100.6,37
19.2,39.2,74
19.2,25.9,100
31.9,83.3,20
9.5,216.1,97
31.8,194.4,77
38.2,160.1,74
39.6,260.8,90
42.1,247.0,66
18.4,95.4,60
26.3,32.0,65
7.1,113.1,58
25.4,240.3,45
26.1,6.9,90
11.2,204.4,76
23.9,175.2,39
44.6,159.0,82
27.4,229.4,88
24.5,296.7,80
17.3,216.4,25
5.0,286.9,87
18.9,157.7,69
10.7,200.1,60
22.5,261.7,87
33.0,253.7,64
37.6,154.5,84
19.7,115.3,80
13.6,102.3,58
30.3,215.0,64
5.7,143.9,99
26.3,76.3,21
18.1,86.9,28
